(in thousands of dollars),,Appropriation,,Budget,,Appropriation,,Budget,,Appropriation,,Budget,,Appropriation,,Budget,,Appropriation,(in thousands of dollars),Budget,,Appropriation,,Budget,,Appropriation,,Budget,,Appropriation,,Budget,,Appropriation,,Budget,,Appropriation,,(in thousands of dollars),,Budget,,Appropriation,,Budget,,Appropriation,,Budget,,Appropriation,,Budget,,Appropriation,,Budget,,Appropriation,,(in thousands of dollars),Budget,,Appropriation,,Budget,,Appropriation,,Budget,,Appropriation,,Budget,,Appropriation,,(in thousands of dollars),,Budget,,Appropriation,,Budget,,Appropriation,,Budget,,Appropriation,,Budget,,Appropriation,,(in thousands of dollars),Budget,,Appropriation,,Budget,,Appropriation,,Budget,,Appropriation,,Budget,,Appropriation,,Budget,,Appropriation,,(in thousands of dollars),Budget,,Appropriation,,Budget,,Appropriation,,Recovery Act,,Budget,,Appropriation,,Budget,,Appropriation,,(in thousands of dollars),Budget,,Appropriation,,Budget,,Appropriation,,Budget,,Appropriation,,Budget,,Appropriation,,(in thousands of dollars),Budget,,Appropriation,,Budget,,Appropriation,,Budget,,Appropriation,,Budget,,Appropriation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education Department Budget by Major Program,,,,,,,,,,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,,,,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,,,,,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,,,,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elementary and Secondary:,,,,,,,,,,,,,,,,,,,Elementary and Secondary:,,,,,,,,,,,,,,,,,,,,,Elementary and Secondary:,,,,,,,,,,,,,,,,,,,,,,Elementary and Secondary:,,,,,,,,,,,,,,,,,Elementary and Secondary:,,,,,,,,,,,,,,,,,,Elementary and Secondary:,,,,,,,,,,,,,,,,,,,,,Elementary and Secondary:,,,,,,,,,,,,,,,,,,,Elementary and Secondary:,,,,,,,,,,,,,,,,,Elementary and Secondary:,,,,,,,,,,,,,,,
  Impact Aid,,"755,000 ",,"648,500 ",,"681,750 ",,"456,000 ",,"463,222 ",,"286,880 ",,"540,200 ",,"455,000 ",,"600,300 ",  Impact Aid,"506,630 ",,"695,000 ",,"543,000 ",,"682,722 ",,"548,000 ",,"717,500 ",,"548,000 ",,"708,476 ",,"592,000 ",,"733,096 ",,  Impact Aid,,"629,260 ",,"732,352 ",,"660,854 ",,"780,710 ",,"620,130 ",,"834,198 ",,"532,130 ",,"840,154 ",,"688,800 ",,"913,208 ",,  Impact Aid,"750,000 ",,"728,000 ",,"619,000 ",,"693,000 ",,"617,000 ",,"730,000 ",,"658,000 ",,"808,000 ",,  Impact Aid,,"696,000 ",,"864,000 ",,"736,000 ",,"906,452 ",,"770,000 ",,"993,302 ",,"1,130,500 ",,"1,143,500 ",,  Impact Aid,"1,140,500 ",,"1,188,226 ",,"1,015,500 ",,"1,229,527 ",,"1,229,527 ",,"1,243,862 ",,"1,240,862 ",,"1,228,453 ",,"1,228,453 ",,"1,228,453 ",,  Impact Aid,"1,228,100 ",,"1,240,717 ",,"1,240,718 ",,"1,265,718 ",,"100,000 ",,"1,265,718 ",,"1,276,183 ",,"1,276,183 ",,"1,273,631 ",,  Impact Aid,"1,276,183 ",,"1,291,186 ",,"1,224,239 ",,"1,223,649 ",,"1,224,239 ",,"1,288,603 ",,"1,221,790 ",,"1,288,603 ",,  Impact Aid,"1,288,603 ",,"1,305,603 ",,"1,305,603 ",,"1,328,603 ",,"1,236,435 ",,"1,414,112 ",,"1,259,790 ",,"1,446,112 "
  Improving Teacher Quality State Grants,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,  Improving Teacher Quality State Grants,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  Improving Teacher Quality State Grants,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  Improving Teacher Quality State Grants,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  Improving Teacher Quality State Grants,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,"2,600,000 ",,"2,850,000 ",,  Improving Teacher Quality State Grants,"2,850,000 ",,"2,930,825 ",,"2,850,000 ",,"2,930,126 ",,"2,930,126 ",,"2,916,605 ",,"2,916,605 ",,"2,887,439 ",,"2,887,439 ",,"2,887,439 ",,  Improving Teacher Quality State Grants,"2,787,488 ",,"2,935,248 ",,"2,835,248 ",,"2,947,749 ",,0 ,,"2,947,749 ",,"2,947,749 ",,0 ,,"2,468,054 ",,  Improving Teacher Quality State Grants,0 ,,"2,466,567 ",,0 ,,"2,337,830 ",,0 ,,"2,349,830 ",,"2,000,000 ",,"2,349,830 ",,  Improving Teacher Quality State Grants,"2,349,830 ",,"2,349,830 ",,"2,250,000 ",,"2,044,411 ",,0 ,,"2,055,830 ",,0 ,,"2,055,830 "
  Mathematics and Science Partnerships,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,  Mathematics and Science Partnerships,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  Mathematics and Science Partnerships,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  Mathematics and Science Partnerships,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  Mathematics and Science Partnerships,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,"12,500 ",,  Mathematics and Science Partnerships,"12,500 ",,"100,344 ",,"12,500 ",,"149,115 ",,"269,115 ",,"178,560 ",,"269,000 ",,"182,160 ",,"182,160 ",,"182,160 ",,  Mathematics and Science Partnerships,"182,124 ",,"178,978 ",,"178,978 ",,"178,978 ",,0 ,,"178,978 ",,"180,478 ",,0 ,,"175,127 ",,  Mathematics and Science Partnerships,0 ,,"149,716 ",,0 ,,"141,902 ",,"414,716 ",,"149,717 ",,"319,717 ",,"152,717 ",,  Mathematics and Science Partnerships,"202,717 ",,"152,717 ",,0 ,,0 ,,0 ,,0 ,,0 ,,0 
  Educational Technology State Grants,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,  Educational Technology State Grants,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  Educational Technology State Grants,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  Educational Technology State Grants,0 ,,0 ,,0 ,,0 ,,"250,000 ",,"200,000 ",,"425,000 ",,"425,000 ",,  Educational Technology State Grants,,"475,000 ",,"425,000 ",,"450,000 ",,"425,000 ",,"450,000 ",,"450,000 ",,"817,096 ",,"700,500 ",,  Educational Technology State Grants,"700,500 ",,"695,947 ",,"700,500 ",,"691,841 ",,"691,841 ",,"496,000 ",,0 ,,"272,250 ",,0 ,,"272,250 ",,  Educational Technology State Grants,0 ,,"267,494 ",,0 ,,"269,872 ",,"650,000 ",,"100,000 ",,"100,000 ",,0 ,,0 ,,  Educational Technology State Grants,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  Educational Technology State Grants,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 
  21st Century Community Learning Centers,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,  21st Century Community Learning Centers,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  21st Century Community Learning Centers,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  21st Century Community Learning Centers,0 ,,750 ,,0 ,,750 ,,0 ,,"1,000 ",,"50,000 ",,"40,000 ",,  21st Century Community Learning Centers,,"200,000 ",,"200,000 ",,"600,000 ",,"453,377 ",,"1,000,000 ",,"845,614 ",,"845,614 ",,"1,000,000 ",,  21st Century Community Learning Centers,"1,000,000 ",,"993,500 ",,"600,000 ",,"999,070 ",,"999,070 ",,"991,077 ",,"991,077 ",,"981,166 ",,"981,166 ",,"981,166 ",,  21st Century Community Learning Centers,"981,180 ",,"1,081,166 ",,"800,000 ",,"1,131,166 ",,0 ,,"1,131,166 ",,"1,166,166 ",,"1,166,166 ",,"1,153,854 ",,  21st Century Community Learning Centers,"1,266,166 ",,"1,151,673 ",,"1,151,673 ",,"1,091,564 ",,"1,251,673 ",,"1,149,370 ",,"1,149,370 ",,"1,151,673 ",,  21st Century Community Learning Centers,"1,151,673 ",,"1,166,673 ",,"1,000,000 ",,"1,191,673 ",,0 ,,"1,211,673 ",,0 ,,"1,221,673 "
  State Assessments,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,  State Assessments,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  State Assessments,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  State Assessments,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  State Assessments,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,"320,000 ",,"387,000 ",,  State Assessments,"387,000 ",,"384,484 ",,"390,000 ",,"390,000 ",,"410,000 ",,"411,680 ",,"411,680 ",,"407,563 ",,"407,563 ",,"407,563 ",,  State Assessments,"411,630 ",,"408,732 ",,"408,732 ",,"410,732 ",,0 ,,"410,732 ",,"410,732 ",,"450,000 ",,"389,951 ",,  State Assessments,"420,000 ",,"389,214 ",,"389,214 ",,"368,900 ",,"389,214 ",,"378,000 ",,"378,000 ",,"378,000 ",,  State Assessments,"403,000 ",,"378,000 ",,"403,000 ",,"369,100 ",,"377,281 ",,"378,000 ",,"369,100 ",,"378,000 "
  Indian Education,,"75,900 ",,"81,680 ",,"81,680 ",,"71,597 ",,"77,852 ",,"51,119 ",,"69,185 ",,"1,243 ",,"68,780 ",  Indian Education,"68,780 ",,"67,404 ",,"67,356 ",,"64,187 ",,"75,729 ",,"64,036 ",,"64,217 ",,"66,326 ",,"67,653 ",,"71,553 ",,  Indian Education,,"74,168 ",,"73,620 ",,"75,762 ",,"75,365 ",,"77,400 ",,"76,570 ",,"81,205 ",,"80,583 ",,"84,006 ",,"83,500 ",,  Indian Education,"85,987 ",,"81,041 ",,"84,785 ",,"52,497 ",,"81,500 ",,"58,050 ",,"62,600 ",,"59,750 ",,  Indian Education,,"66,000 ",,"66,000 ",,"77,000 ",,"77,000 ",,"115,500 ",,"115,500 ",,"116,000 ",,"120,368 ",,  Indian Education,"122,368 ",,"121,573 ",,"122,368 ",,"120,856 ",,"120,856 ",,"119,889 ",,"119,889 ",,"118,690 ",,"118,690 ",,"118,690 ",,  Indian Education,"118,683 ",,"119,564 ",,"119,564 ",,"122,282 ",,0 ,,"122,282 ",,"127,282 ",,"127,282 ",,"127,027 ",,  Indian Education,"127,282 ",,"130,779 ",,"130,779 ",,"123,939 ",,"130,779 ",,"123,939 ",,"123,939 ",,"123,939 ",,  Indian Education,"173,939 ",,"123,939 ",,"174,939 ",,"164,939 ",,"143,665 ",,"180,239 ",,"164,939 ",,"180,239 "
  Teacher Incentive Fund,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,  Teacher Incentive Fund,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  Teacher Incentive Fund,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  Teacher Incentive Fund,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  Teacher Incentive Fund,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  Teacher Incentive Fund,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,"500,000 ",,"99,000 ",,"99,000 ",,200 ,,  Teacher Incentive Fund,"199,000 ",,"97,270 ",,"200,000 ",,"97,270 ",,"200,000 ",,"517,270 ",,"400,000 ",,0 ,,"399,200 ",,  Teacher Incentive Fund,0 ,,"299,433 ",,0 ,,"283,771 ",,0 ,,"288,771 ",,0 ,,"230,000 ",,  Teacher Incentive Fund,"350,000 ",,"230,000 ",,"250,000 ",,"200,000 ",,"199,563 ",,"200,000 ",,0 ,,"200,000 "
  Choice Incentive Fund,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,  Choice Incentive Fund,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  Choice Incentive Fund,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  Choice Incentive Fund,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  Choice Incentive Fund,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  Choice Incentive Fund,"50,000 ",,0 ,,"75,000 ",,0 ,,"50,000 ",,0 ,,"50,000 ",,0 ,,0 ,,0 ,,  Choice Incentive Fund,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  Choice Incentive Fund,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,  Choice Incentive Fund,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 
  Safe and Drug-Free Schools and Communities State Grants,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,  Safe and Drug-Free Schools and Communities State Grants,0 ,,0 ,,0 ,,0 ,,0 ,,"161,046 ",,"82,800 ",,"191,480 ",,"207,000 ",,"287,730 ",,  Safe and Drug-Free Schools and Communities State Grants,,"297,513 ",,"460,554 ",,"487,619 ",,"497,702 ",,"497,709 ",,"507,663 ",,"507,663 ",,"498,565 ",,"498,565 ",,"369,500 ",,  Safe and Drug-Free Schools and Communities State Grants,"580,000 ",,"440,981 ",,"465,000 ",,"440,978 ",,"515,000 ",,"555,978 ",,"590,000 ",,"531,000 ",,  Safe and Drug-Free Schools and Communities State Grants,,"526,000 ",,"441,000 ",,"439,000 ",,"439,250 ",,"439,250 ",,"439,250 ",,"644,250 ",,"472,017 ",,  Safe and Drug-Free Schools and Communities State Grants,"472,017 ",,"468,949 ",,"422,017 ",,"440,908 ",,"440,908 ",,"437,381 ",,0 ,,"346,500 ",,0 ,,"346,500 ",,  Safe and Drug-Free Schools and Communities State Grants,"100,000 ",,"294,759 ",,"100,000 ",,"294,759 ",,0 ,,0 ,,0 ,,0 ,,0 ,,  Safe and Drug-Free Schools and Communities State Grants,0 ,,0 ,,0 ,,0 ,,0 ,,"90,000 ",,"214,000 ",,"70,000 ",,  Safe and Drug-Free Schools and Communities State Grants,"90,000 ",,"75,000 ",,"90,000 ",,"68,000 ",,"74,857 ",,"90,000 ",,"43,000 ",,"95,000 "
