Education Department Budget by Major Program,Presidents Budget 2012,Appropriation 2012,Presidents Budget 2013,Appropriation 2013,Presidents Budget 2014,Appropriation 2014,Presidents Budget 2015,Appropriation 2015,Presidents Budget 2016,Appropriation 2016,Presidents Budget 2017,Appropriation 2017,Presidents Budget 2018,Appropriation 2018,Presidents Budget 2019,Appropriation 2019
Rehabilitation Services and Disability Research,"3,541,111","3,511,281","3,517,710","3,435,385","3,655,577","3,442,749","3,683,335","3,466,393","3,532,109","3,298,965","3,541,389","3,301,089","3,563,008","3,359,237","3,634,977","3,438,826"
Adult Education,"658,346","606,295","606,295","574,667","609,295","577,667","597,667","582,667","588,667","595,667","606,667","595,667","499,535","630,667","499,561","655,667"
Education Research and Statistics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Research, Development, Dissemination and Regional Laboratories","330,063","247,213","259,699","234,283","259,699","234,283","244,696","234,283","256,696","249,423","263,696","241,923","248,949","248,118","187,500","248,118"
Statistics,"117,021","108,748","114,748","103,060","122,748","103,060","122,748","103,060","124,744","112,000","125,360","109,500","111,787","109,500","112,500","109,500"
Assessment,"143,844","138,306","132,306","131,071","132,306","140,235","132,321","137,235","157,443","157,235","156,745","156,745","156,936","156,745","156,745","158,745"
Research and Innovation in Special Education,"58,085","49,905","49,905","47,295","59,905","54,000","54,000","54,000","54,000","54,000","54,000","54,000","53,897","56,000","54,000","56,000"
Program Administration/Administration of Credit Programs,"479,038","1,770,411","1,957,548","1,777,557","1,968,949","1,815,808","1,888,924","1,807,924","2,055,943","1,983,854","2,106,817","2,008,854","2,135,711","2,108,943","2,231,257","2,108,943"
Office for Civil Rights,"107,772","102,624","105,318","98,356","107,500","98,356","102,000","100,000","130,691","107,000","137,708","108,500","106,797","117,000","107,438","125,000"
Office of the Inspector General,"67,187","59,820","62,401","57,791","62,347","57,791","59,181","57,791","59,256","59,256","61,941","59,256","61,143","61,143","63,418","61,143"
Other,"128,646","50,665","64,492","47,416","96,415","255,104","293,162","257,579","240,799","262,079","216,772","216,772","216,310","271,530","227,540","285,391"
"Total, Other","5,631,113","6,645,268","6,870,422","6,506,881","7,074,741","6,724,630","7,123,611","6,746,509","7,200,348","6,879,479","7,271,095","6,852,306","7,154,073","7,118,883","7,274,936","7,247,333"
Discretionary,"2,509,401","3,522,383","3,639,450","3,440,176","3,772,688","3,433,434","3,788,537","3,654,895","3,808,578","3,718,349","3,872,541","3,688,252","3,701,142","3,893,845","3,752,946","3,943,706"
Mandatory,"3,121,712","3,122,885","3,230,972","3,066,705","3,302,053","3,291,196","3,335,074","3,091,614","3,391,770","3,161,130","3,398,554","3,164,054","3,452,931","3,225,038","3,521,990","3,303,627"
"Total, Department of Education","68,023,391","40,550,403","54,096,961","39,851,541","53,827,787","55,266,372","82,279,336","88,013,545","73,837,292","77,079,502","79,475,529","115,366,675","64,935,475","70,228,448","65,756,343","81,164,807"
"Total, Discretionary","77,400,391","68,112,288","68,833,098","65,704,706","71,209,062","67,301,715","68,587,781","67,135,576","70,747,119","68,306,763","69,388,269","68,239,195","62,889,424","70,867,406","63,201,058","71,448,416"
"Total, Mandatory","-9,377,000","-27,561,885","-14,736,137","-25,853,165","-17,381,275","-12,035,343","13,691,546","20,877,969","3,090,173","8,772,739","10,087,260","47,127,480","2,046,051","-638,958","2,555,285","9,716,391"
